# proxy-host	youtube	pornhub
145.223.55.62	false	false
104.239.124.192	false	false
154.29.87.168	false	false
31.57.85.191	false	false
206.206.118.47	false	true
142.202.254.161	false	false
104.143.224.104	false	false
82.23.230.102	false	true
193.176.99.24	false	true
185.15.178.201	false	true
166.88.169.84	false	true
45.43.167.232	false	true
166.88.235.105	false	true
45.61.127.253	false	true
62.105.204.240	false	true
82.108.67.199	false	true
103.75.228.216	false	true
104.143.224.241	false	false
104.239.106.169	false	true
173.211.68.15	false	true
154.6.87.51	false	true
31.58.16.71	false	false
82.21.227.157	false	false
194.38.26.121	false	false
31.59.13.223	false	false
31.58.148.195	false	false
142.111.113.207	false	false
